stusps,state,hud_area_code,countyname,hud_area_name,fips,pop2023,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
IL,17,NCNTY17157N17157,Randolph County,"Randolph County, IL",1715799999,30413,632,698,916,1145,1450
IL,17,NCNTY17159N17159,Richland County,"Richland County, IL",1715999999,15716,632,729,916,1098,1390
IL,17,METRO19340M19340,Rock Island County,"Davenport-Moline-Rock Island, IA-IL MSA",1716199999,143819,817,928,1143,1498,1819
IL,17,METRO41180M41180,St. Clair County,"St. Louis, MO-IL HUD Metro FMR Area",1716399999,256791,955,995,1218,1568,1812
IL,17,NCNTY17165N17165,Saline County,"Saline County, IL",1716599999,23662,634,701,920,1207,1264
IL,17,METRO44100M44100,Sangamon County,"Springfield, IL MSA",1716799999,196122,829,970,1203,1611,1682
IL,17,NCNTY17169N17169,Schuyler County,"Schuyler County, IL",1716999999,6879,632,836,916,1098,1315
IL,17,NCNTY17171N17171,Scott County,"Scott County, IL",1717199999,4899,632,698,916,1098,1213
IL,17,NCNTY17173N17173,Shelby County,"Shelby County, IL",1717399999,21042,656,789,951,1140,1435
IL,17,METRO37900M37900,Stark County,"Peoria, IL MSA",1717599999,5395,758,818,1039,1346,1449
IL,17,NCNTY17177N17177,Stephenson County,"Stephenson County, IL",1717799999,44482,694,698,916,1124,1342
IL,17,METRO37900M37900,Tazewell County,"Peoria, IL MSA",1717999999,131276,758,818,1039,1346,1449
IL,17,NCNTY17181N17181,Union County,"Union County, IL",1718199999,17122,640,698,916,1129,1261
IL,17,NCNTY17183N17183,Vermilion County,"Vermilion County, IL",1718399999,74113,672,742,974,1179,1306
IL,17,NCNTY17185N17185,Wabash County,"Wabash County, IL",1718599999,11321,632,698,916,1274,1308
IL,17,NCNTY17187N17187,Warren County,"Warren County, IL",1718799999,16760,632,698,916,1156,1537
IL,17,NCNTY17189N17189,Washington County,"Washington County, IL",1718999999,13781,632,836,916,1242,1268
IL,17,NCNTY17191N17191,Wayne County,"Wayne County, IL",1719199999,16127,632,698,916,1098,1537
IL,17,NCNTY17193N17193,White County,"White County, IL",1719399999,13834,632,698,916,1209,1438
IL,17,NCNTY17195N17195,Whiteside County,"Whiteside County, IL",1719599999,55569,673,719,916,1208,1213
IL,17,METRO16980M16980,Will County,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1719799999,696774,1480,1581,1781,2294,2653
IL,17,NCNTY17199N17199,Williamson County,"Williamson County, IL",1719999999,67120,753,790,1037,1369,1386
IL,17,METRO40420M40420,Winnebago County,"Rockford, IL MSA",1720199999,284591,810,895,1175,1555,1594
IL,17,METRO37900M37900,Woodford County,"Peoria, IL MSA",1720399999,38414,758,818,1039,1346,1449
IN,18,NCNTY18001N18001,Adams County,"Adams County, IN",1800199999,35827,695,872,956,1227,1266
IN,18,METRO23060M23060,Allen County,"Fort Wayne, IN HUD Metro FMR Area",1800399999,385456,892,916,1113,1381,1512
